JavaScript (JS),Langage de programmation de référence pour créer des interfaces web dynamiques et des applications SaaS.
Application SaaS,"Logiciel accessible via le navigateur sans installation locale, facilitant la collaboration et la mise à jour continue."
VS Code,"Éditeur de code professionnel extensible, pilier de l'environnement de développement moderne."
Prettier,Extension VS Code pour le formatage automatique et cohérent du code source.
GitLens,Extension améliorant la visualisation de l'historique Git et la paternité du code dans l'éditeur.
Git,Outil de versionnement permettant de conserver l'historique complet des modifications d'un projet.
git init,Commande permettant d'initialiser un nouveau dépôt local Git dans le dossier courant.
git add,Ajoute les fichiers modifiés à l'index pour les préparer au prochain commit.
git commit,Sauvegarde une version précise (instantané) des fichiers indexés avec un message descriptif.
Dépôt distant (Remote),Version du projet hébergée sur un serveur comme GitHub pour la sauvegarde et la collaboration.
GitHub,Plateforme web d'hébergement de dépôts Git facilitant le travail en équipe et la relecture de code.
Pull Request (PR),"Demande de fusion de modifications d'une branche vers une autre, soumise à validation par l'équipe."
Modélisation UML,Langage visuel permettant de représenter la structure et les interactions d'un système avant de coder.
GitHub Copilot,Assistant IA intégré à VS Code proposant des suggestions de code basées sur le contexte.
Prompt (IA),Instruction textuelle précise fournie à l'IA pour obtenir un résultat de code optimal.
Node.js,Environnement permettant d'exécuter du code JavaScript côté serveur ou pour l'outillage local.
NPM,Gestionnaire de paquets de Node.js facilitant l'installation de bibliothèques tierces.
ViteJS,Outil de build et serveur de développement ultra-rapide optimisé pour les projets web modernes.
Fonctions fléchées ($=> $),"Syntaxe JavaScript concise pour déclarer des fonctions, souvent utilisée avec les tableaux."
Tableaux (Array),"Structures de données stockant des listes de valeurs, manipulables avec des méthodes comme $.map()$ ou $.filter()$."
Programmation événementielle,Paradigme où le code réagit aux actions de l'utilisateur comme les clics ou la saisie.
Objets littéraux,Collections de paires clé-valeur permettant d'organiser des données et des fonctionnalités connexes.
Spread Operator ($...$),Syntaxe permettant de copier ou fusionner des objets et tableaux sans altérer les originaux.
Modules ES6,Système standard d'importation et d'exportation de fichiers pour organiser le code de manière modulaire.
DOM,Représentation hiérarchique (arborescence) de la page web permettant à JavaScript de modifier l'interface.
document.querySelector(),Méthode JavaScript pour sélectionner un élément HTML en utilisant des sélecteurs CSS.
addEventListener(),Attache un écouteur d'événement à un élément pour déclencher une action lors d'une interaction.
Tailwind CSS,Framework CSS utilitaire permettant de styliser rapidement des composants avec des classes prédéfinies.
Responsive Design,"Conception d'interfaces s'adaptant automatiquement à toutes les tailles d'écrans (mobile, tablette, bureau)."
setTimeout(),Fonction JavaScript permettant de différer l'exécution d'une action après un délai spécifié.
requestAnimationFrame(),Méthode optimisée pour créer des animations fluides en se synchronisant sur le rafraîchissement de l'écran.
Canvas HTML5,Élément graphique permettant de dessiner et d'animer des formes directement via JavaScript.
Fetch API,Interface moderne pour effectuer des requêtes réseau asynchrones vers des serveurs.
Async / Await,Mots-clés simplifiant la lecture et l'écriture de code asynchrone basé sur des promesses.
React JS,Bibliothèque front-end basée sur des composants réutilisables pour construire des interfaces interactives.
Composant React,Unité de code modulaire et autonome qui définit une partie de l'interface utilisateur.
JSX,Syntaxe combinant JavaScript et HTML pour décrire la structure des composants React.
Virtual DOM,Copie légère du DOM utilisée par React pour mettre à jour l'affichage de manière performante.
Props (React),Données immuables transmises par un composant parent à un composant enfant.
State (useState),Données internes à un composant dont la modification déclenche une mise à jour de l'affichage.
Hook useEffect,Permet d'exécuter du code en réaction à des changements d'état ou au montage du composant.
Lifting State Up,Technique consistant à remonter l'état dans un parent commun pour partager des données entre frères.
Context API,Mécanisme de React pour partager des données globales sans passer manuellement par les props.
useContext,Hook permettant à un composant de consommer directement une valeur provenant d'un Contexte.
Hooks personnalisés,Fonctions réutilisables encapsulant une logique métier complexe en utilisant des hooks React existants.
Variables d'environnement,"Paramètres configurables (clés API, URLs) stockés dans des fichiers .env pour sécuriser le projet."
VITE_ préfixe,Préfixe obligatoire pour que les variables d'environnement soient accessibles dans une application Vite.
Firebase Hosting,Service d'hébergement rapide et sécurisé pour les applications web statiques et dynamiques.
firebase deploy,Commande permettant de mettre en ligne la version finale du projet sur les serveurs Firebase.
GitHub Actions,Outil d'automatisation CI/CD pour exécuter des tests et déployer du code à chaque modification.
JSDoc,Standard de commentaires structurés permettant de documenter le code et de guider les développeurs.
Vitest,Framework de test unitaire ultra-rapide conçu pour s'intégrer parfaitement avec ViteJS.
Assertion (expect),Expression dans un test vérifiant que le résultat obtenu est identique au résultat attendu.
Workflow Git professionnel,"Organisation en branches ($main, dev, feature/*$) pour structurer le développement en équipe."
Hotfix branch,Branche temporaire créée pour corriger rapidement un bug critique en production.
Git Worktrees,Environnements isolés permettant de travailler sur plusieurs branches sans changer de dossier principal.
Background Agents,Agents CLI autonomes s'exécutant en arrière-plan pour accomplir des tâches complexes sans interaction.
Subagents (VS Code),Agents spécialisés délégués par un agent principal pour traiter une sous-tâche dans un contexte isolé.
Cloud Agents,Agents s'exécutant sur des serveurs distants pour collaborer via des Pull Requests GitHub.
Model Context Protocol (MCP),Protocole permettant aux agents IA d'utiliser des outils externes ou d'accéder à des données distantes.
Conventional Commits,Norme de rédaction de messages de commit facilitant la lecture de l'historique et l'automatisation.
npm run build,Commande transformant le code source en fichiers optimisés pour la mise en ligne.
Preview Channel,Lien de déploiement temporaire Firebase permettant de tester une fonctionnalité avant sa fusion finale.
Firebase Rollback,Action permettant de revenir instantanément à une version précédente du site en cas de bug.
Git tag,Marqueur immuable dans l'historique Git identifiant une version spécifique de l'application.
Licence open-source,"Document juridique (ex: MIT, Apache) définissant les droits d'utilisation et de partage du code."
README.md,"Documentation principale d'un projet expliquant son rôle, son installation et son usage."
Mini-documentation,"Guide court incluant présentation, stack technique, commandes et capture d'écran du projet."
Prop-Drilling,Passage fastidieux de données à travers des composants intermédiaires n'en ayant pas besoin.
Composant Pur,Composant React qui ne modifie aucune variable externe et renvoie toujours le même rendu pour les mêmes props.
Tableau de dépendances,Deuxième argument de useEffect contrôlant le moment où l'effet doit se déclencher.
Cleanup function,"Fonction retournée par useEffect pour nettoyer les ressources (timers, listeners) au démontage."
Provider (Context),Composant qui englobe l'application pour rendre une valeur de contexte accessible à ses descendants.
Custom Hooks,"Fonctions JavaScript dont le nom commence par 'use', encapsulant une logique réutilisable avec des hooks React."
HMR (Vite),Mécanisme mettant à jour les modules dans le navigateur sans rechargement complet de la page.
Native ESM,Système de modules standard utilisé par Vite pour servir les fichiers sans bundling durant le développement.
JSON named imports,Capacité de Vite à importer des champs spécifiques d'un fichier JSON pour optimiser le bundle.
import.meta.glob,Fonction spécifique à Vite permettant d'importer plusieurs modules à la fois via des motifs (wildcards).
Dynamic Import,"Chargement d'un module JavaScript à la demande, renvoyant une promesse."
Web Workers (Vite),Scripts importés avec le suffixe '?worker' pour s'exécuter sur un thread séparé.
Lightning CSS,Transformateur et minificateur CSS ultra-performant supporté expérimentalement par Vite.
Data URIs,"Inlining de petits assets (images, fonts) directement dans le code pour réduire les requêtes HTTP."
Async Chunk Optimization,Optimisation de Vite préchargeant les dépendances partagées pour éviter les allers-retours réseau inutiles.
Terminal intégré,Fenêtre de commande interne à VS Code permettant d'exécuter des scripts sans quitter l'éditeur.
Shell,"Programme (ex: Bash, PowerShell) qui interprète et exécute les commandes dans le terminal."
Ghost Text,"Texte grisé suggéré par Copilot dans l'éditeur, activable en appuyant sur Tab."
Agent Mode (Copilot),Mode où l'IA prend l'initiative de créer des fichiers et d'exécuter des commandes pour un objectif global.
Plan Mode (Copilot),Étape préliminaire où l'IA propose un blueprint des modifications avant toute exécution.
Inline Chat,Fenêtre de dialogue IA ouverte directement dans le code via le raccourci $Cmd+I$ ou $Ctrl+I$.
Context Bloat,"Accumulation excessive d'informations dans la fenêtre de contexte de l'IA, nuisant à sa précision."
Parallel Execution (Subagents),Capacité de lancer plusieurs subagents simultanément pour accélérer l'analyse ou la recherche.
Token usage,"Mesure de la consommation de ressources IA, réduite par l'isolation des contextes des subagents."
runSubagent tool,Outil permettant à un agent principal de déléguer une tâche à un subagent autonome.
beforeEach (Vitest),Fonction de hook exécutant une logique de préparation avant chaque test individuel.
afterAll (Vitest),Fonction de hook s'exécutant une seule fois après la fin de tous les tests d'une suite.
test.todo(),Méthode permettant de lister des tests prévus mais pas encore implémentés dans le rapport.
Benchmark (bench),Test mesurant la performance et la rapidité d'exécution d'une fonction JavaScript.
describe(),Fonction permettant de regrouper plusieurs tests liés au sein d'une même suite logique.
Snapshot testing,Technique de test comparant le rendu actuel à une version de référence enregistrée précédemment.